satisfaction_employee_environnement,note_evaluation_precedente,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,id_employee,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,annees_dans_l_entreprise,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion
1,2,3,3,3,47,3,Oui,14%,50,M,2683,Marié(e),Commercial,Représentant Commercial,1,3,1,0,2,3,2,Marketing,Occasionnel,0
4,3,4,1,3,49,3,Non,13%,35,F,2014,Marié(e),Commercial,Représentant Commercial,1,2,0,0,3,2,3,Marketing,Occasionnel,2
2,2,1,4,4,51,3,Oui,14%,36,F,3419,Marié(e),Consulting,Assistant de Direction,9,1,0,1,3,5,4,Infra & Cloud,Occasionnel,0
3,4,1,1,3,52,3,Non,19%,33,F,5376,Marié(e),Commercial,Cadre Commercial,2,5,0,2,3,1,3,Infra & Cloud,Frequent,1
3,3,4,3,3,53,3,Non,12%,35,M,1951,Divorcé(e),Consulting,Consultant,1,1,0,1,3,4,2,Autre,Occasionnel,0
4,3,1,4,3,54,3,Non,13%,27,F,2341,Divorcé(e),Consulting,Consultant,1,1,0,1,6,2,4,Infra & Cloud,Occasionnel,0
1,1,3,3,2,55,3,Non,12%,26,M,2293,Célibataire,Consulting,Consultant,1,1,1,0,2,25,3,Infra & Cloud,Occasionnel,0
4,3,3,4,3,56,3,Non,15%,27,M,8726,Célibataire,Commercial,Cadre Commercial,1,9,0,0,0,8,3,Infra & Cloud,Frequent,1
3,3,4,4,3,57,4,Non,23%,30,F,4011,Célibataire,Consulting,Consultant,1,12,0,0,2,1,2,Transformation Digitale,Frequent,3
2,3,3,4,3,58,3,Non,12%,41,F,19545,Marié(e),Consulting,Directeur Technique,1,22,1,0,0,12,3,Entrepreunariat,Occasionnel,15
2,3,3,3,3,60,4,Non,20%,34,M,4568,Célibataire,Commercial,Cadre Commercial,0,9,0,0,2,23,4,Marketing,Aucun,8
2,3,2,1,3,61,4,Non,21%,37,M,3022,Marié(e),Consulting,Assistant de Direction,4,1,0,0,1,19,2,Infra & Cloud,Occasionnel,0
1,3,4,3,3,62,4,Oui,21%,46,M,5772,Célibataire,Commercial,Cadre Commercial,4,9,0,0,4,5,4,Marketing,Frequent,0
4,4,4,4,3,63,3,Non,19%,35,M,2269,Marié(e),Consulting,Consultant,1,1,0,0,2,8,1,Infra & Cloud,Occasionnel,0
1,2,3,4,3,64,3,Oui,13%,48,M,5381,Célibataire,Consulting,Consultant,9,1,1,0,2,1,2,Infra & Cloud,Occasionnel,0
3,3,3,3,2,65,3,Oui,13%,28,M,3441,Célibataire,Consulting,Consultant,1,2,1,0,3,5,4,Entrepreunariat,Occasionnel,2
2,3,1,3,2,68,4,Oui,21%,44,F,5454,Divorcé(e),Commercial,Cadre Commercial,5,4,0,1,2,1,5,Marketing,Occasionnel,1
3,2,1,3,3,70,3,Oui,13%,35,M,9884,Marié(e),Consulting,Manager,2,4,0,1,3,11,2,Transformation Digitale,Aucun,2
3,2,4,3,2,72,3,Oui,19%,26,F,4157,Marié(e),Commercial,Cadre Commercial,7,2,0,1,2,23,3,Marketing,Occasionnel,0
1,3,4,3,3,73,3,Oui,12%,33,F,13458,Célibataire,Consulting,Directeur Technique,1,15,0,0,1,1,2,Infra & Cloud,Frequent,8
2,3,1,4,2,74,4,Non,22%,35,M,9069,Marié(e),Commercial,Cadre Commercial,1,9,0,1,3,18,5,Infra & Cloud,Frequent,1
3,3,1,3,3,75,3,Oui,15%,35,F,4014,Marié(e),Consulting,Consultant,3,2,0,1,3,23,4,Transformation Digitale,Occasionnel,2
4,3,4,4,2,76,4,Non,22%,31,M,5915,Divorcé(e),Consulting,Consultant,3,7,0,1,3,7,4,Infra & Cloud,Occasionnel,1
1,2,3,3,4,77,3,Non,18%,37,M,5993,Divorcé(e),Consulting,Tech Lead,1,7,0,1,2,1,4,Infra & Cloud,Occasionnel,0
1,3,4,2,3,78,4,Oui,22%,32,M,6162,Marié(e),Consulting,Tech Lead,1,9,0,1,3,1,3,Transformation Digitale,Occasionnel,7
4,3,4,4,3,79,3,Non,11%,38,F,2406,Célibataire,Consulting,Consultant,1,10,0,0,2,29,5,Infra & Cloud,Frequent,9
2,2,3,4,2,80,3,Oui,12%,50,F,18740,Divorcé(e),Consulting,Directeur Technique,5,27,0,1,2,7,2,Transformation Digitale,Occasionnel,13
1,3,1,4,2,81,3,Non,11%,59,F,7637,Célibataire,Commercial,Cadre Commercial,7,21,0,0,3,25,3,Infra & Cloud,Occasionnel,7
3,3,3,2,3,83,3,Non,13%,36,F,10096,Divorcé(e),Consulting,Manager,1,17,0,3,2,8,3,Entrepreunariat,Occasionnel,12
4,3,3,3,3,84,3,Oui,14%,55,F,14756,Divorcé(e),Consulting,Senior Manager,2,5,0,3,2,8,3,Transformation Digitale,Occasionnel,0
2,2,2,3,3,85,3,Non,13%,36,M,6499,Célibataire,Consulting,Tech Lead,1,6,0,0,3,11,3,Infra & Cloud,Frequent,0
2,3,1,3,3,86,3,Non,17%,45,M,9724,Divorcé(e),Consulting,Assistant de Direction,2,1,0,1,2,7,3,Infra & Cloud,Occasionnel,0
2,3,1,4,2,88,3,Non,13%,35,M,2194,Marié(e),Consulting,Assistant de Direction,4,3,0,1,2,1,3,Transformation Digitale,Frequent,1
4,2,3,1,2,90,3,Oui,17%,36,M,3388,Marié(e),Consulting,Assistant de Direction,0,1,1,1,0,9,3,Transformation Digitale,Occasionnel,0
1,2,3,4,2,91,3,Non,11%,59,F,5473,Célibataire,Commercial,Cadre Commercial,7,4,0,0,2,1,1,Infra & Cloud,Frequent,1
3,3,2,4,3,94,4,Non,23%,29,M,2703,Marié(e),Consulting,Assistant de Direction,0,5,0,1,3,2,3,Infra & Cloud,Occasionnel,0
3,3,2,2,3,95,3,Non,17%,31,M,2501,Célibataire,Consulting,Assistant de Direction,1,1,0,0,4,1,4,Transformation Digitale,Occasionnel,1
2,3,2,2,3,96,3,Non,17%,32,M,6220,Marié(e),Consulting,Assistant de Direction,1,10,0,2,3,1,3,Infra & Cloud,Occasionnel,0
2,4,4,2,3,97,3,Non,12%,36,F,3038,Marié(e),Consulting,Consultant,3,1,0,0,3,6,3,Infra & Cloud,Occasionnel,0
3,3,4,4,3,98,4,Non,23%,31,F,4424,Célibataire,Consulting,Tech Lead,1,11,0,0,2,8,4,Infra & Cloud,Occasionnel,1
3,2,1,2,3,100,3,Non,14%,35,M,4312,Célibataire,Commercial,Cadre Commercial,0,15,0,0,2,1,4,Marketing,Occasionnel,2
4,3,1,2,4,101,3,Oui,14%,45,M,13245,Marié(e),Consulting,Directeur Technique,4,0,0,0,3,6,4,Autre,Occasionnel,0
1,3,3,1,4,102,3,Non,13%,37,M,13664,Célibataire,Consulting,Directeur Technique,4,5,0,0,3,7,4,Transformation Digitale,Occasionnel,0
2,3,2,4,3,103,4,Oui,22%,46,M,5021,Divorcé(e),Ressources Humaines,Ressources Humaines,8,4,0,1,2,5,2,Transformation Digitale,Occasionnel,0
4,2,4,3,2,104,3,Oui,12%,30,M,5126,Marié(e),Consulting,Consultant,1,10,0,2,1,1,1,Infra & Cloud,Occasionnel,3
2,2,3,1,3,105,3,Non,18%,35,M,2859,Célibataire,Consulting,Assistant de Direction,1,6,0,0,3,1,3,Transformation Digitale,Occasionnel,0
1,3,4,4,3,106,3,Non,14%,55,M,10239,Marié(e),Commercial,Cadre Commercial,3,1,0,1,4,1,2,Infra & Cloud,Occasionnel,1
2,1,4,4,3,107,3,Oui,12%,38,F,5329,Divorcé(e),Consulting,Assistant de Direction,7,13,0,3,3,6,3,Transformation Digitale,Aucun,1
1,3,2,3,3,110,3,Non,15%,34,M,4325,Marié(e),Consulting,Tech Lead,1,5,0,0,2,1,2,Transformation Digitale,Occasionnel,1
4,1,4,1,2,112,3,Non,11%,56,M,7260,Célibataire,Consulting,Tech Lead,4,6,0,0,3,7,3,Infra & Cloud,Occasionnel,0
3,3,1,3,3,113,3,Non,13%,23,M,2322,Divorcé(e),Commercial,Représentant Commercial,3,0,0,1,3,2,1,Entrepreunariat,Occasionnel,0
4,3,4,2,3,116,4,Non,23%,51,M,2075,Marié(e),Consulting,Consultant,3,4,0,2,4,9,4,Infra & Cloud,Occasionnel,0
3,2,4,1,3,117,3,Non,19%,30,M,4152,Marié(e),Consulting,Manager,1,11,0,3,3,2,3,Infra & Cloud,Occasionnel,10
3,2,4,4,3,118,3,Non,16%,46,M,9619,Célibataire,Commercial,Cadre Commercial,1,9,1,0,3,9,2,Transformation Digitale,Occasionnel,4
3,2,2,4,2,119,4,Non,22%,40,M,13503,Marié(e),Consulting,Manager,1,22,0,1,3,1,4,Infra & Cloud,Frequent,11
3,3,4,4,1,120,4,Oui,22%,51,M,5441,Célibataire,Commercial,Cadre Commercial,0,10,0,0,2,21,4,Marketing,Occasionnel,1
3,2,2,2,2,121,3,Oui,12%,30,F,5209,Divorcé(e),Commercial,Cadre Commercial,1,11,0,3,4,4,2,Transformation Digitale,Occasionnel,2
3,2,1,3,2,124,3,Oui,13%,46,M,10673,Marié(e),Consulting,Manager,2,10,0,1,5,1,3,Transformation Digitale,Frequent,9
2,3,3,1,3,125,3,Non,16%,32,M,5010,Célibataire,Commercial,Cadre Commercial,1,11,0,0,0,6,4,Transformation Digitale,Occasionnel,5
1,3,3,1,1,126,3,Non,12%,54,F,13549,Marié(e),Consulting,Directeur Technique,9,4,0,1,5,2,4,Entrepreunariat,Occasionnel,0
1,3,3,1,2,128,4,Non,21%,24,F,4999,Marié(e),Commercial,Cadre Commercial,0,3,0,1,2,3,2,Autre,Occasionnel,0
2,3,3,2,4,129,3,Non,15%,28,M,4221,Marié(e),Commercial,Cadre Commercial,1,5,0,0,3,4,3,Transformation Digitale,Aucun,0
4,3,3,3,2,131,3,Non,13%,58,M,13872,Célibataire,Commercial,Cadre Commercial,0,37,0,0,1,10,4,Transformation Digitale,Occasionnel,1
2,3,2,3,4,132,3,Non,12%,44,M,2042,Marié(e),Consulting,Consultant,4,3,0,1,3,23,3,Transformation Digitale,Aucun,1
3,3,1,4,3,133,4,Oui,22%,37,M,2073,Divorcé(e),Ressources Humaines,Ressources Humaines,4,3,1,0,3,6,4,Ressources Humaines,Occasionnel,0
4,3,1,4,3,134,3,Non,13%,32,M,2956,Célibataire,Consulting,Assistant de Direction,1,1,0,0,2,1,1,Infra & Cloud,Occasionnel,0
4,2,4,2,3,137,3,Oui,18%,20,F,2926,Célibataire,Consulting,Consultant,1,1,1,0,5,6,3,Infra & Cloud,Frequent,1
1,3,3,3,3,138,3,Non,14%,34,F,4809,Célibataire,Consulting,Assistant de Direction,1,16,0,0,3,6,4,Autre,Occasionnel,2
3,2,4,4,4,139,3,Non,14%,37,M,5163,Divorcé(e),Consulting,Manager,5,1,0,1,2,2,2,Infra & Cloud,Aucun,0
3,2,4,4,3,140,4,Non,21%,59,F,18844,Marié(e),Ressources Humaines,Senior Manager,9,3,0,1,3,2,4,Ressources Humaines,Aucun,2
1,3,2,1,2,141,3,Oui,19%,50,F,18172,Marié(e),Consulting,Directeur Technique,3,8,0,0,1,1,3,Infra & Cloud,Frequent,0
3,2,3,4,3,142,3,Oui,11%,25,M,5744,Célibataire,Commercial,Cadre Commercial,1,6,1,0,1,5,3,Marketing,Occasionnel,0
4,2,4,3,3,143,3,Non,11%,25,M,2889,Marié(e),Consulting,Assistant de Direction,1,2,0,2,2,7,1,Transformation Digitale,Occasionnel,2
2,3,4,3,3,144,3,Non,15%,22,F,2871,Célibataire,Consulting,Consultant,1,0,0,0,5,15,3,Transformation Digitale,Occasionnel,0
1,2,1,3,2,145,4,Non,20%,51,F,7484,Célibataire,Consulting,Manager,3,13,0,0,1,1,4,Transformation Digitale,Frequent,12
1,1,3,4,3,147,4,Oui,24%,34,M,6074,Célibataire,Consulting,Consultant,1,9,1,0,3,7,3,Infra & Cloud,Frequent,0
4,4,4,3,3,148,3,Oui,12%,54,F,17328,Célibataire,Ressources Humaines,Senior Manager,2,5,0,0,3,26,3,Ressources Humaines,Aucun,4
2,3,3,3,3,150,3,Non,12%,24,M,2774,Marié(e),Consulting,Consultant,0,5,0,1,2,18,1,Infra & Cloud,Occasionnel,1
3,2,2,3,3,151,3,Non,15%,34,F,4505,Divorcé(e),Consulting,Assistant de Direction,6,1,0,1,3,6,4,Infra & Cloud,Occasionnel,0
3,3,4,1,3,152,3,Non,12%,37,M,7428,Célibataire,Commercial,Cadre Commercial,2,5,0,0,3,3,3,Infra & Cloud,Occasionnel,1
3,2,1,4,3,153,3,Non,12%,34,F,11631,Célibataire,Consulting,Senior Manager,2,11,0,0,6,5,3,Transformation Digitale,Occasionnel,5
2,3,4,3,3,154,3,Non,14%,36,F,9738,Marié(e),Commercial,Cadre Commercial,0,9,0,1,6,11,2,Entrepreunariat,Frequent,2
1,3,4,1,3,155,4,Non,22%,36,F,2835,Divorcé(e),Consulting,Consultant,5,1,0,1,2,3,2,Infra & Cloud,Occasionnel,0
3,3,4,4,4,158,3,Oui,12%,43,M,16959,Marié(e),Commercial,Senior Manager,1,25,0,2,3,26,2,Infra & Cloud,Frequent,4
1,1,3,3,2,159,4,Non,25%,30,M,2613,Divorcé(e),Consulting,Assistant de Direction,1,10,0,3,2,23,3,Infra & Cloud,Frequent,0
3,3,2,1,4,160,3,Non,13%,33,M,6146,Marié(e),Commercial,Cadre Commercial,0,7,0,1,2,22,2,Marketing,Aucun,0
2,3,2,1,3,161,3,Oui,18%,56,F,4963,Marié(e),Consulting,Assistant de Direction,9,5,1,3,2,14,4,Infra & Cloud,Occasionnel,4
1,3,3,3,3,162,3,Non,13%,51,M,19537,Célibataire,Consulting,Directeur Technique,7,20,0,0,5,6,3,Infra & Cloud,Occasionnel,15
2,1,3,2,2,163,3,Oui,18%,31,M,6172,Marié(e),Commercial,Cadre Commercial,4,7,1,0,3,6,4,Infra & Cloud,Occasionnel,7
3,2,2,3,2,164,3,Non,19%,26,F,2368,Marié(e),Consulting,Assistant de Direction,1,5,0,0,3,6,3,Autre,Occasionnel,4
4,3,4,4,2,165,3,Non,12%,58,F,10312,Marié(e),Consulting,Manager,1,40,1,1,3,23,4,Transformation Digitale,Occasionnel,15
4,3,3,4,2,167,3,Oui,19%,19,M,1675,Célibataire,Commercial,Représentant Commercial,1,0,1,0,2,22,1,Marketing,Occasionnel,0
3,3,4,3,3,169,3,Non,14%,22,M,2523,Marié(e),Consulting,Consultant,0,2,0,1,2,2,1,Entrepreunariat,Occasionnel,2
3,3,1,3,2,170,3,Non,14%,49,F,6567,Marié(e),Consulting,Tech Lead,1,15,0,0,2,20,4,Transformation Digitale,Occasionnel,5
2,4,3,4,3,171,3,Non,12%,43,F,4739,Célibataire,Consulting,Assistant de Direction,4,3,0,0,2,28,3,Transformation Digitale,Frequent,1
3,3,4,4,3,174,3,Non,11%,50,F,9208,Célibataire,Commercial,Cadre Commercial,4,2,0,0,3,12,3,Marketing,Frequent,2
2,1,3,3,3,175,3,Oui,11%,31,F,4559,Marié(e),Commercial,Cadre Commercial,3,2,1,1,2,20,3,Infra & Cloud,Occasionnel,2
3,3,3,3,3,176,3,Oui,13%,41,M,8189,Divorcé(e),Commercial,Cadre Commercial,3,9,0,1,2,9,1,Infra & Cloud,Occasionnel,0
3,3,3,4,3,177,4,Non,23%,26,F,2942,Marié(e),Ressources Humaines,Ressources Humaines,1,8,0,1,3,25,1,Infra & Cloud,Occasionnel,5
2,3,2,4,3,178,4,Non,20%,36,M,4941,Divorcé(e),Consulting,Tech Lead,6,3,0,2,0,6,2,Transformation Digitale,Occasionnel,0
1,1,4,4,3,179,3,Non,15%,51,M,10650,Célibataire,Consulting,Tech Lead,2,4,1,0,2,8,4,Infra & Cloud,Frequent,0
4,2,3,3,4,182,3,Non,14%,39,F,5902,Marié(e),Commercial,Cadre Commercial,4,15,0,1,1,4,4,Infra & Cloud,Occasionnel,5
1,2,3,4,3,183,3,Non,18%,25,M,8639,Marié(e),Commercial,Cadre Commercial,2,2,0,0,3,28,3,Infra & Cloud,Occasionnel,2
3,3,4,4,1,184,3,Oui,19%,30,M,6347,Marié(e),Ressources Humaines,Ressources Humaines,0,11,0,0,2,9,3,Ressources Humaines,Occasionnel,4
1,3,1,1,4,190,4,Non,22%,32,F,4200,Célibataire,Consulting,Consultant,7,5,1,0,2,9,3,Transformation Digitale,Occasionnel,0
3,3,4,2,2,192,3,Non,13%,45,M,3452,Célibataire,Consulting,Assistant de Direction,5,6,0,0,2,29,3,Transformation Digitale,Occasionnel,0
4,3,3,2,3,193,4,Oui,20%,38,F,4317,Célibataire,Consulting,Assistant de Direction,3,3,0,0,2,3,5,Entrepreunariat,Occasionnel,2
1,3,3,3,2,194,3,Non,14%,30,F,2632,Célibataire,Consulting,Assistant de Direction,1,5,0,0,4,18,3,Infra & Cloud,Occasionnel,0
4,1,4,4,4,195,3,Non,17%,32,M,4668,Divorcé(e),Commercial,Cadre Commercial,0,8,0,3,2,9,2,Transformation Digitale,Frequent,0
4,3,1,4,3,197,3,Non,14%,30,F,3204,Divorcé(e),Consulting,Assistant de Direction,5,3,0,1,3,5,3,Entrepreunariat,Occasionnel,2
2,2,4,4,3,198,3,Non,13%,30,M,2720,Célibataire,Consulting,Consultant,0,5,0,0,3,2,1,Transformation Digitale,Occasionnel,1
4,2,1,2,2,199,3,Non,13%,41,M,17181,Divorcé(e),Consulting,Senior Manager,4,7,0,1,2,10,3,Infra & Cloud,Frequent,7
3,3,1,4,3,200,4,Non,21%,41,M,2238,Marié(e),Consulting,Consultant,2,5,0,1,2,9,4,Infra & Cloud,Occasionnel,1
2,3,2,4,3,201,3,Non,14%,19,F,1483,Célibataire,Consulting,Consultant,1,1,0,0,3,3,1,Transformation Digitale,Occasionnel,0
2,3,2,1,3,202,3,Non,11%,40,F,5605,Divorcé(e),Consulting,Assistant de Direction,1,20,0,1,2,26,3,Transformation Digitale,Frequent,2
3,3,2,1,3,204,3,Non,13%,35,M,7295,Marié(e),Commercial,Cadre Commercial,1,10,0,2,3,1,5,Marketing,Occasionnel,0
2,3,3,4,1,205,4,Oui,20%,53,M,2306,Marié(e),Commercial,Représentant Commercial,2,7,0,1,3,6,2,Marketing,Occasionnel,4
2,3,2,3,1,206,3,Non,18%,45,M,2348,Divorcé(e),Consulting,Consultant,8,17,0,1,2,9,3,Infra & Cloud,Occasionnel,0
2,3,4,4,3,207,3,Non,14%,32,F,8998,Célibataire,Commercial,Cadre Commercial,1,9,0,0,2,8,3,Marketing,Frequent,3
4,3,3,1,3,208,3,Non,13%,29,M,4319,Marié(e),Consulting,Tech Lead,1,10,0,1,1,1,1,Entrepreunariat,Aucun,0
2,2,3,3,3,211,3,Non,17%,51,M,6132,Marié(e),Consulting,Tech Lead,2,1,0,0,2,7,4,Transformation Digitale,Occasionnel,0
2,2,2,2,2,214,4,Oui,20%,58,F,3346,Marié(e),Consulting,Assistant de Direction,4,1,0,1,3,9,3,Transformation Digitale,Occasionnel,0
3,2,4,1,2,215,3,Non,11%,40,M,10855,Marié(e),Commercial,Cadre Commercial,7,12,0,1,2,4,4,Marketing,Occasionnel,2
3,3,3,4,3,216,3,Non,18%,34,F,2231,Marié(e),Commercial,Représentant Commercial,6,4,0,1,3,2,4,Marketing,Frequent,1
3,3,4,1,3,217,4,Non,24%,22,M,2323,Marié(e),Consulting,Assistant de Direction,1,2,0,2,6,19,1,Transformation Digitale,Occasionnel,2
4,3,2,4,1,218,3,Non,18%,27,M,2024,Divorcé(e),Consulting,Assistant de Direction,6,2,0,1,1,9,3,Transformation Digitale,Aucun,2
3,3,4,3,1,221,3,Non,11%,28,M,2713,Marié(e),Consulting,Assistant de Direction,1,5,0,1,2,21,3,Transformation Digitale,Occasionnel,0
3,4,4,2,1,223,3,Oui,16%,57,M,9439,Divorcé(e),Consulting,Manager,3,5,0,1,2,24,2,Infra & Cloud,Occasionnel,1
3,2,3,4,2,224,3,Oui,15%,27,M,2566,Divorcé(e),Consulting,Assistant de Direction,1,1,0,1,2,3,3,Transformation Digitale,Aucun,0
3,3,2,2,3,226,3,Non,15%,50,F,19926,Célibataire,Consulting,Senior Manager,3,5,0,0,5,11,3,Infra & Cloud,Occasionnel,4
1,3,3,1,3,227,3,Non,12%,41,M,2451,Divorcé(e),Consulting,Assistant de Direction,4,9,0,1,2,14,3,Infra & Cloud,Occasionnel,1
2,3,4,3,3,228,3,Non,12%,30,F,9419,Marié(e),Commercial,Cadre Commercial,2,10,0,1,2,5,3,Infra & Cloud,Occasionnel,7
1,2,4,3,4,230,4,Non,22%,38,F,8686,Célibataire,Commercial,Cadre Commercial,4,8,0,0,2,1,4,Infra & Cloud,Occasionnel,0
3,3,3,1,3,231,4,Non,20%,32,M,3038,Célibataire,Consulting,Assistant de Direction,3,5,0,0,2,6,5,Infra & Cloud,Occasionnel,1
3,3,2,4,2,233,3,Oui,16%,27,M,3058,Marié(e),Consulting,Assistant de Direction,0,5,0,1,3,17,3,Entrepreunariat,Occasionnel,1
3,1,1,1,4,235,4,Non,21%,19,F,2325,Célibataire,Commercial,Représentant Commercial,0,0,1,0,5,1,1,Entrepreunariat,Frequent,0
4,3,2,3,2,238,3,Non,12%,36,M,2088,Célibataire,Consulting,Consultant,4,8,0,0,3,3,2,Transformation Digitale,Frequent,7
3,3,1,3,3,239,3,Non,11%,30,M,3072,Divorcé(e),Consulting,Consultant,1,12,0,2,4,9,3,Transformation Digitale,Aucun,6
3,3,1,1,4,240,3,Oui,11%,45,F,5006,Divorcé(e),Commercial,Cadre Commercial,4,5,0,1,3,4,2,Infra & Cloud,Occasionnel,0
